id,company,hall,stand,profile_url
1015,Licharz GmbH,5,F11,https://www.k-online.com/vis/v1/en/search?_query=Licharz+GmbH
1035,"Kyowa Industrial Co., Ltd.",1,A69-1,https://www.k-online.com/vis/v1/en/search?_query=Kyowa+Industrial+Co.%2C+Ltd.
1080,Merit Plastik Kaucuk Ins. San. ve Tic. A.S.,8a,C16,https://www.k-online.com/vis/v1/en/search?_query=Merit+Plastik+Kaucuk+Ins.+San.+ve+Tic.+A.S.
1124,Bekum Maschinenfabriken GmbH,14,C03,https://www.k-online.com/vis/v1/en/search?_query=Bekum+Maschinenfabriken+GmbH
1131,Calcit d.o.o.,8b,A26,https://www.k-online.com/vis/v1/en/search?_query=Calcit+d.o.o.
1140,HPL Additives Limited,5,B27,https://www.k-online.com/vis/v1/en/search?_query=HPL+Additives+Limited
1141,TotalEnergies Corbion bv,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=biodegradable+polymer&f_type=profile
1146,Bjørn Thorsen A/S,6,W-03,https://www.k-online.com/vis/v1/en/search?_query=compatibilizer&f_type=profile
1147,Chr Olesen Polymers GmbH,7,B23,https://www.k-online.com/vis/v1/en/search?_query=Chr+Olesen+Polymers+GmbH
1160,Gustav Grolman GmbH & Co. KG,plan,Enter,https://www.k-online.com/vis/v1/en/search?_query=Gustav+Grolman+GmbH+%26+Co.+KG
1175,Biesse S.p.A.,3,B17,https://www.k-online.com/vis/v1/en/search?_query=Biesse+S.p.A.
1176,Trexel GmbH,13,B46,https://www.k-online.com/vis/v1/en/search?_query=Trexel+GmbH
1177,CONSTAB Polyolefin Additives GmbH,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=CONSTAB+Polyolefin+Additives+GmbH
1178,Krahn Chemie Deutschland GmbH,6,A62,https://www.k-online.com/vis/v1/en/search?_query=Krahn+Chemie+Deutschland+GmbH
1179,POLYTECHS SAS,5,D04-01,https://www.k-online.com/vis/v1/en/search?_query=POLYTECHS+SAS
1180,Repi S.r.l.,6,B24,https://www.k-online.com/vis/v1/en/search?_query=Repi+S.r.l.
1181,AMIK ITALIA SPA,8b,C61,https://www.k-online.com/vis/v1/en/search?_query=AMIK+ITALIA+SPA
1182,Chemische Fabrik Budenheim KG,8a,D43,https://www.k-online.com/vis/v1/en/search?_query=Chemische+Fabrik+Budenheim+KG
1183,Everkem Srl.,8b,F51,https://www.k-online.com/vis/v1/en/search?_query=Everkem+Srl.
1184,ROWA GROUP Holding GmbH,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+GROUP+Holding+GmbH
1185,"A.F. Supercell Co., Ltd.",7,B23,https://www.k-online.com/vis/v1/en/search?_query=A.F.+Supercell+Co.%2C+Ltd.
1186,AVANZARE Innovacion Tecnologica S.L.,5,E43,https://www.k-online.com/vis/v1/en/search?_query=AVANZARE+Innovacion+Tecnologica+S.L.
1187,ENGEL AUSTRIA GmbH,15,B42..C58,https://www.k-online.com/vis/v1/en/search?_query=ENGEL+AUSTRIA+GmbH
1188,Promix Solutions AG,9,E18,https://www.k-online.com/vis/v1/en/search?_query=Promix+Solutions+AG
1189,ROWA Inc.,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+Inc.
1190,FINCO Srl,7a,B21,https://www.k-online.com/vis/v1/en/search?_query=FINCO+Srl
1191,Budin Masterbatch Plastik Sanayi ve Ticaret A.Ş.,6,E12,https://www.k-online.com/vis/v1/en/search?_query=Budin+Masterbatch+Plastik+Sanayi+ve+Ticaret+A.%C5%9E.
1192,E-LUCK PLASTIC MASTERBATCH MFY.,7,E03-05,https://www.k-online.com/vis/v1/en/search?_query=E-LUCK+PLASTIC+MASTERBATCH+MFY.
1193,FVR MASTERBATCH KIMYA SAN VE TIC LTD,8b,H27,https://www.k-online.com/vis/v1/en/search?_query=FVR+MASTERBATCH+KIMYA+SAN+VE+TIC+LTD
1194,ROWA Masterbatch GmbH,8a,B28,https://www.k-online.com/vis/v1/en/search?_query=ROWA+Masterbatch+GmbH
1223,WELSET PLAST EXTRUSIONS PVT. LTD.,5,B05-02,https://www.k-online.com/vis/v1/en/search?_query=WELSET+PLAST+EXTRUSIONS+PVT.+LTD.
1224,MD Plast S.p.A,6,E24,https://www.k-online.com/vis/v1/en/search?_query=MD+Plast+S.p.A
1225,Farrel Pomini,9,A16,https://www.k-online.com/vis/v1/en/search?_query=Farrel+Pomini
1226,"LIANSHUN MOLDING & PLASTIC CO., LTD",8b,D11-03,https://www.k-online.com/vis/v1/en/search?_query=LIANSHUN+MOLDING+%26+PLASTIC+CO.%2C+LTD
1227,"XUZHOU DAMAO PRECISION MOLDING CO.,LTD.",8b,F11-14,https://www.k-online.com/vis/v1/en/search?_query=XUZHOU+DAMAO+PRECISION+MOLDING+CO.%2CLTD.
1228,LK Injection Moulding Machine International Limited,13,B78,https://www.k-online.com/vis/v1/en/search?_query=LK+Injection+Moulding+Machine+International+Limited
1229,KEBO AG Injection Mould Technology,12,C35-09,https://www.k-online.com/vis/v1/en/search?_query=KEBO+AG+Injection+Mould+Technology
1230,"Suzhou Usane Precision Tooling & Molding Co., Ltd.",1,E53,https://www.k-online.com/vis/v1/en/search?_query=Suzhou+Usane+Precision+Tooling+%26+Molding+Co.%2C+Ltd.
1231,Synventive Molding Solutions GmbH,1,C50,https://www.k-online.com/vis/v1/en/search?_query=Synventive+Molding+Solutions+GmbH
1232,Chen Hsong Holdings Ltd.,13,B43,https://www.k-online.com/vis/v1/en/search?_query=Chen+Hsong+Holdings+Ltd.
1233,Jomar Corporation,14,A32,https://www.k-online.com/vis/v1/en/search?_query=Jomar+Corporation
1234,Siegfried Hofmann GmbH Hofmann - Ihr Impulsgeber,13,C10,https://www.k-online.com/vis/v1/en/search?_query=Siegfried+Hofmann+GmbH+Hofmann+-+Ihr+Impulsgeber
1235,"Yizumi International Business Co., Ltd.",13,A73,https://www.k-online.com/vis/v1/en/search?_query=Yizumi+International+Business+Co.%2C+Ltd.
1236,Billion S.A.S.,6,A11,https://www.k-online.com/vis/v1/en/search?_query=Billion+S.A.S.
1237,WITTMANN BATTENFELD GmbH,16,CE06,https://www.k-online.com/vis/v1/en/search?_query=WITTMANN+BATTENFELD+GmbH
1238,"Huarong Plastic Machinery Co., Ltd.",12,C01-13,https://www.k-online.com/vis/v1/en/search?_query=Huarong+Plastic+Machinery+Co.%2C+Ltd.
1239,"WOOJIN PLAIMM Co.,Ltd",15,D58,https://www.k-online.com/vis/v1/en/search?_query=WOOJIN+PLAIMM+Co.%2CLtd
1240,Haitian International Germany GmbH,15,A57,https://www.k-online.com/vis/v1/en/search?_query=Haitian+International+Germany+GmbH
1241,PLASTIC METAL S.p.A.,13,B38,https://www.k-online.com/vis/v1/en/search?_query=PLASTIC+METAL+S.p.A.
1242,FCS Group,12,B80,https://www.k-online.com/vis/v1/en/search?_query=FCS+Group
1243,NISSEI ASB GmbH,14,B38,https://www.k-online.com/vis/v1/en/search?_query=NISSEI+ASB+GmbH
1244,"MachinePoint Used Machinery, S. L.",12,E41,https://www.k-online.com/vis/v1/en/search?_query=MachinePoint+Used+Machinery%2C+S.+L.
1245,NETSTAL Maschinen AG,15,D24,https://www.k-online.com/vis/v1/en/search?_query=NETSTAL+Maschinen+AG
1246,"REP International, SAS",8b,D61,https://www.k-online.com/vis/v1/en/search?_query=REP+International%2C+SAS
1247,Schwarz Plastic Solutions GmbH Externer Support: Duroplast + Marketing,7a,B25-01,https://www.k-online.com/vis/v1/en/search?_query=Schwarz+Plastic+Solutions+GmbH+Externer+Support%3A+Duroplast+%2B+Marketing
1248,Innova Engineered Plastics LLC,11,A75,https://www.k-online.com/vis/v1/en/search?_query=Innova+Engineered+Plastics+LLC
1249,Axxicon BV,10,C54,https://www.k-online.com/vis/v1/en/search?_query=Axxicon+BV
1250,"Anhui Dwell Extrusion Machinery Co., Ltd",15,A46-1,https://www.k-online.com/vis/v1/en/search?_query=Anhui+Dwell+Extrusion+Machinery+Co.%2C+Ltd
1251,bauku extrusion technology UG,14,C17,https://www.k-online.com/vis/v1/en/search?_query=bauku+extrusion+technology+UG
1252,"COWELL (NANJING) EXTRUSION MACHINERY CO.,LTD",16,B44,https://www.k-online.com/vis/v1/en/search?_query=COWELL+%28NANJING%29+EXTRUSION+MACHINERY+CO.%2CLTD
1253,"Dalian TGI GLOBE Extrusion Technology Co.,Ltd",15,A38,https://www.k-online.com/vis/v1/en/search?_query=Dalian+TGI+GLOBE+Extrusion+Technology+Co.%2CLtd
1254,DEVIKRUPA EXTRUSION (Proprietor Company),12,E86-03,https://www.k-online.com/vis/v1/en/search?_query=DEVIKRUPA+EXTRUSION+%28Proprietor+Company%29
1255,eprotec extrusion technology AG,11,D81,https://www.k-online.com/vis/v1/en/search?_query=eprotec+extrusion+technology+AG
1256,ERE Kunststoff RAM-Extrusion GmbH & Co. KG Kelberg,8b,A35,https://www.k-online.com/vis/v1/en/search?_query=ERE+Kunststoff+RAM-Extrusion+GmbH+%26+Co.+KG+Kelberg
1257,Eurotech Extrusion Machinery S.R.L.,16,F65,https://www.k-online.com/vis/v1/en/search?_query=Eurotech+Extrusion+Machinery+S.R.L.
1258,HOSOKAWA ALPINE Aktiengesellschaft Film Extrusion Division,9,C34,https://www.k-online.com/vis/v1/en/search?_query=HOSOKAWA+ALPINE+Aktiengesellschaft+Film+Extrusion+Division
1259,INTELLIGENT EXTRUSION SYSTEMS S.L.,9,C10,https://www.k-online.com/vis/v1/en/search?_query=INTELLIGENT+EXTRUSION+SYSTEMS+S.L.
1260,Kaivanya Extrusion Technik Kiran Shah,11,H34,https://www.k-online.com/vis/v1/en/search?_query=Kaivanya+Extrusion+Technik+Kiran+Shah
1261,"Leader Extrusion Machinery Ind. Co., Ltd.",16,A55,https://www.k-online.com/vis/v1/en/search?_query=Leader+Extrusion+Machinery+Ind.+Co.%2C+Ltd.
1262,motan extrusion engineering gmbH,10,D02,https://www.k-online.com/vis/v1/en/search?_query=motan+extrusion+engineering+gmbH
1263,"Nordson Extrusion Dies Industries, LLC",1,E91,https://www.k-online.com/vis/v1/en/search?_query=Nordson+Extrusion+Dies+Industries%2C+LLC
1264,Reifenhäuser Extrusion Systems GmbH,1,D91,https://www.k-online.com/vis/v1/en/search?_query=Reifenh%C3%A4user+Extrusion+Systems+GmbH
1265,Rollepaal Pipe Extrusion Technology B.V.,16,A43,https://www.k-online.com/vis/v1/en/search?_query=Rollepaal+Pipe+Extrusion+Technology+B.V.
1266,Shubham Extrusion Technik Pvt. Ltd.,16,B06,https://www.k-online.com/vis/v1/en/search?_query=Shubham+Extrusion+Technik+Pvt.+Ltd.
1267,UWAY Extrusion LLC,16,B44,https://www.k-online.com/vis/v1/en/search?_query=UWAY+Extrusion+LLC
1268,diamat Maschinenbau GmbH,16,C59,https://www.k-online.com/vis/v1/en/search?_query=diamat+Maschinenbau+GmbH
1269,Gneuss Kunststofftechnik GmbH,9,A22,https://www.k-online.com/vis/v1/en/search?_query=Gneuss+Kunststofftechnik+GmbH
1270,Hans Weber Maschinenfabrik GmbH,16,F06,https://www.k-online.com/vis/v1/en/search?_query=Hans+Weber+Maschinenfabrik+GmbH
1271,Maillefer SA,16,B19,https://www.k-online.com/vis/v1/en/search?_query=Maillefer+SA
1272,MULTIPLAST Kunststoffverarbeitung GmbH,11,C47,https://www.k-online.com/vis/v1/en/search?_query=MULTIPLAST+Kunststoffverarbeitung+GmbH
1273,"PTi Processing Technologies International, LLC",16,D03,https://www.k-online.com/vis/v1/en/search?_query=PTi+Processing+Technologies+International%2C+LLC
1274,Astra Polymer Compounding Co. Ltd.,8b,H83,https://www.k-online.com/vis/v1/en/search?_query=Astra+Polymer+Compounding+Co.+Ltd.
1275,"Kechuang Plastics Compounding Co., Ltd.",7,B21,https://www.k-online.com/vis/v1/en/search?_query=Kechuang+Plastics+Compounding+Co.%2C+Ltd.
1276,NG Nordic Finland Oy,8a,H34,https://www.k-online.com/vis/v1/en/search?_query=NG+Nordic+Finland+Oy
1277,Rokyplast SAL,7,G02,https://www.k-online.com/vis/v1/en/search?_query=Rokyplast+SAL
1278,Battaggion S.p.A.,3,A35,https://www.k-online.com/vis/v1/en/search?_query=Battaggion+S.p.A.
1279,Thermoware Particle Foam Machinery BV,13,D40,https://www.k-online.com/vis/v1/en/search?_query=Thermoware+Particle+Foam+Machinery+BV
1280,"Hangzhou Fangyuan Plastics Machinery Co.,Ltd",13,D09,https://www.k-online.com/vis/v1/en/search?_query=Hangzhou+Fangyuan+Plastics+Machinery+Co.%2CLtd
1281,"Hangzhou SUTUAN Machinery CO., LTD.",8b,D11-07,https://www.k-online.com/vis/v1/en/search?_query=Hangzhou+SUTUAN+Machinery+CO.%2C+LTD.
1282,Altero Recycling Machinery S.L.,10,G10,https://www.k-online.com/vis/v1/en/search?_query=Altero+Recycling+Machinery+S.L.
1283,"Chi-Chang Machinery Enterprise Co., Ltd.",12,C01-09,https://www.k-online.com/vis/v1/en/search?_query=Chi-Chang+Machinery+Enterprise+Co.%2C+Ltd.
1284,"King Steel Machinery Co., Ltd.",13,B93,https://www.k-online.com/vis/v1/en/search?_query=King+Steel+Machinery+Co.%2C+Ltd.
1285,"Qingdao Tongsanhegu Plastic Machinery Manufacturing Co., Ltd.",8b,A05-10,https://www.k-online.com/vis/v1/en/search?_query=Qingdao+Tongsanhegu+Plastic+Machinery+Manufacturing+Co.%2C+Ltd.
1286,Kurtz GmbH & Co. KG,13,B47,https://www.k-online.com/vis/v1/en/search?_query=Kurtz+GmbH+%26+Co.+KG
1287,CANNON,10,C45,https://www.k-online.com/vis/v1/en/search?_query=CANNON
1288,Hennecke GmbH,13,B63,https://www.k-online.com/vis/v1/en/search?_query=Hennecke+GmbH
1289,Tecnodinamica S.r.l.,13,C15,https://www.k-online.com/vis/v1/en/search?_query=Tecnodinamica+S.r.l.
1290,Teubert Maschinenbau GmbH,13,A60,https://www.k-online.com/vis/v1/en/search?_query=Teubert+Maschinenbau+GmbH
1291,"PARTICLE FOAMTEC CO., LTD",13,D50,https://www.k-online.com/vis/v1/en/search?_query=PARTICLE+FOAMTEC+CO.%2C+LTD
1292,AKKAYA EPS MAK.IML.SAN.VE TIC.A.S.,13,D16,https://www.k-online.com/vis/v1/en/search?_query=AKKAYA+EPS+MAK.IML.SAN.VE+TIC.A.S.
1293,ALESSIOHITECH SRL,13,D90,https://www.k-online.com/vis/v1/en/search?_query=ALESSIOHITECH+SRL
1294,DDL srl,13,D47,https://www.k-online.com/vis/v1/en/search?_query=DDL+srl
1295,EDILTECO S.p.A.,13,D63,https://www.k-online.com/vis/v1/en/search?_query=EDILTECO+S.p.A.
1296,Nuova Idropress S.p.A.,13,D24,https://www.k-online.com/vis/v1/en/search?_query=Nuova+Idropress+S.p.A.
1297,Rajoo Engineers Ltd.,16,A55,https://www.k-online.com/vis/v1/en/search?_query=Rajoo+Engineers+Ltd.
1298,Viro d.o.o.,13,C27,https://www.k-online.com/vis/v1/en/search?_query=Viro+d.o.o.
1299,Fill Gesellschaft m.b.H.,8a,E13,https://www.k-online.com/vis/v1/en/search?_query=Fill+Gesellschaft+m.b.H.
1300,Isotherm AG,7,B24,https://www.k-online.com/vis/v1/en/search?_query=Isotherm+AG
1301,KraussMaffei Technologies GmbH,15,C24..C25,https://www.k-online.com/vis/v1/en/search?_query=KraussMaffei+Technologies+GmbH
1302,Albrecht Bäumer GmbH & Co. KG,3,A33,https://www.k-online.com/vis/v1/en/search?_query=Albrecht+B%C3%A4umer+GmbH+%26+Co.+KG
1303,UAB Terekas,14,B03,https://www.k-online.com/vis/v1/en/search?_query=UAB+Terekas
1304,"HAO YU PRECISION MACHINERY INDUSTRY Co., Ltd.",4,B34-02,https://www.k-online.com/vis/v1/en/search?_query=HAO+YU+PRECISION+MACHINERY+INDUSTRY+Co.%2C+Ltd.
1305,"Horng En Co., Ltd.",7,C51-03,https://www.k-online.com/vis/v1/en/search?_query=Horng+En+Co.%2C+Ltd.
1306,MUEHSAM Rozwiązania Dla Przemysłu Sp.j.,11,A09,https://www.k-online.com/vis/v1/en/search?_query=MUEHSAM+Rozwi%C4%85zania+Dla+Przemys%C5%82u+Sp.j.
1307,"PELLENC ST, SAS",9,A49,https://www.k-online.com/vis/v1/en/search?_query=PELLENC+ST%2C+SAS
1308,Erema Engineering Recycling Maschinen und Anlagen GmbH,16,CE03,https://www.k-online.com/vis/v1/en/search?_query=Erema+Engineering+Recycling+Maschinen+und+Anlagen+GmbH
1309,ECO-WORLD Plastics Recycling Sebastian Duma Sp.k.,plan,Enter,https://www.k-online.com/vis/v1/en/search?_query=ECO-WORLD+Plastics+Recycling+Sebastian+Duma+Sp.k.
1310,Interzero Plastics Recycling GmbH,8b,C21,https://www.k-online.com/vis/v1/en/search?_query=Interzero+Plastics+Recycling+GmbH
1311,KBM Plastic Machinery LLP,10,E01,https://www.k-online.com/vis/v1/en/search?_query=KBM+Plastic+Machinery+LLP
1312,"Dongshan Plastic Machinery Co., Ltd",10,G42,https://www.k-online.com/vis/v1/en/search?_query=Dongshan+Plastic+Machinery+Co.%2C+Ltd
1313,Özgülmak Plastic Machinery Ltd.,17,C17,https://www.k-online.com/vis/v1/en/search?_query=%C3%96zg%C3%BClmak+Plastic+Machinery+Ltd.
1314,Plastic Energy Ltd.,16,A55,https://www.k-online.com/vis/v1/en/search?_query=Plastic+Energy+Ltd.
1315,Bollegraaf Recycling Solutions BV 9900AH,10,H32,https://www.k-online.com/vis/v1/en/search?_query=Bollegraaf+Recycling+Solutions+BV+9900AH
1316,HAMOS GmbH Recycling- und Separationstechnik,9,E17,https://www.k-online.com/vis/v1/en/search?_query=HAMOS+GmbH+Recycling-+und+Separationstechnik
1317,Naeco Recycling S.L.,8a,E12-07,https://www.k-online.com/vis/v1/en/search?_query=Naeco+Recycling+S.L.
1318,NGA Plastic Technology Pvt. Ltd.,10,B01,https://www.k-online.com/vis/v1/en/search?_query=NGA+Plastic+Technology+Pvt.+Ltd.
1319,Panwrite Plastic Industries Sdn. Bhd.,8b,H70,https://www.k-online.com/vis/v1/en/search?_query=Panwrite+Plastic+Industries+Sdn.+Bhd.
1320,Plastic is Fantastic,8a,F09,https://www.k-online.com/vis/v1/en/search?_query=Plastic+is+Fantastic
1321,SIKOPLAST Recycling Technology GmbH,9,A46,https://www.k-online.com/vis/v1/en/search?_query=SIKOPLAST+Recycling+Technology+GmbH
1322,SINTAC RECYCLING S.L.,8a,K22-02,https://www.k-online.com/vis/v1/en/search?_query=SINTAC+RECYCLING+S.L.
1323,ZERMA Machinery & Recycling Technology Co. Ltd.,10,H02,https://www.k-online.com/vis/v1/en/search?_query=ZERMA+Machinery+%26+Recycling+Technology+Co.+Ltd.
1324,"Ztech Plastic Machinery Manufacturing Co.,Ltd.",4,D25,https://www.k-online.com/vis/v1/en/search?_query=Ztech+Plastic+Machinery+Manufacturing+Co.%2CLtd.
1325,Avian Machinery Group,9,C04,https://www.k-online.com/vis/v1/en/search?_query=Avian+Machinery+Group
1326,Euro Machinery APS,11,I46,https://www.k-online.com/vis/v1/en/search?_query=Euro+Machinery+APS
1327,Pureloop GmbH,9,C09,https://www.k-online.com/vis/v1/en/search?_query=Pureloop+GmbH
1328,EKOTREND Ludky s.r.o.,6,NN,https://www.k-online.com/vis/v1/en/search?_query=EKOTREND+Ludky+s.r.o.
1329,HolyPoly GmbH,plan,Enter,https://www.k-online.com/vis/v1/en/search?_query=HolyPoly+GmbH
1330,Thees Kunststoffverarbeitung GmbH,8b,C42,https://www.k-online.com/vis/v1/en/search?_query=Thees+Kunststoffverarbeitung+GmbH
1331,Bernhard Ide GmbH & Co. KG Werkzeug- und Maschinenbau für die Kunststoffverarbeitung,16,F43,https://www.k-online.com/vis/v1/en/search?_query=Bernhard+Ide+GmbH+%26+Co.+KG+Werkzeug-+und+Maschinenbau+f%C3%BCr+die+Kunststoffverarbeitung
1332,Zeppelin Systems GmbH,10,C14,https://www.k-online.com/vis/v1/en/search?_query=Zeppelin+Systems+GmbH
1333,CORAL A.E. OIL & CHEMICALS COMPANY SA,8b,H74,https://www.k-online.com/vis/v1/en/search?_query=CORAL+A.E.+OIL+%26+CHEMICALS+COMPANY+SA
1334,Fraunhofer Cluster Circular Plastics Economy CCPE,7,C05,https://www.k-online.com/vis/v1/en/search?_query=Fraunhofer+Cluster+Circular+Plastics+Economy+CCPE
1335,EKATO Rühr- und Mischtechnik GmbH,11,A67,https://www.k-online.com/vis/v1/en/search?_query=EKATO+R%C3%BChr-+und+Mischtechnik+GmbH
1336,Promeco S.p.A.,9,D38,https://www.k-online.com/vis/v1/en/search?_query=Promeco+S.p.A.
1337,Borealis GmbH,6,A43,https://www.k-online.com/vis/v1/en/search?_query=Borealis+GmbH
1338,Carboliq GmbH,6,D76,https://www.k-online.com/vis/v1/en/search?_query=Carboliq+GmbH
1339,"Innovative Flexotech Pvt. Ltd,",12,D52-06,https://www.k-online.com/vis/v1/en/search?_query=Innovative+Flexotech+Pvt.+Ltd%2C
1340,ORLEN Unipetrol RPA s.r.o.,7a,C01,https://www.k-online.com/vis/v1/en/search?_query=ORLEN+Unipetrol+RPA+s.r.o.
1341,Process Control GmbH,6,E16,https://www.k-online.com/vis/v1/en/search?_query=Process+Control+GmbH
1342,ROLF SCHLICHT GmbH,3,A35,https://www.k-online.com/vis/v1/en/search?_query=ROLF+SCHLICHT+GmbH
1343,Sipchem Innovent SA,12,C35-08,https://www.k-online.com/vis/v1/en/search?_query=Sipchem+Innovent+SA
1344,TotalEnergies Petrochemicals & Refining SA/NV,8b,F78,https://www.k-online.com/vis/v1/en/search?_query=chemical+recycling&f_type=profile
1345,Coperion GmbH,14,B19,https://www.k-online.com/vis/v1/en/search?_query=Coperion+GmbH
1346,Cumapol Emmen BV,8a,H14,https://www.k-online.com/vis/v1/en/search?_query=Cumapol+Emmen+BV
1347,Fych Technologies S.L.,10,G10,https://www.k-online.com/vis/v1/en/search?_query=Fych+Technologies+S.L.
1348,RTC TEC Baglanti Elemanlari San. Tic. A. S.,1,E96,https://www.k-online.com/vis/v1/en/search?_query=RTC+TEC+Baglanti+Elemanlari+San.+Tic.+A.+S.
1349,GEMINI CORPORATION N.V.,8b,F78,https://www.k-online.com/vis/v1/en/search?_query=GEMINI+CORPORATION+N.V.
1350,Meltem Kimya ve Tekstil San. Ith. Ihr.ve Ticaret A.S,8b,A30,https://www.k-online.com/vis/v1/en/search?_query=Meltem+Kimya+ve+Tekstil+San.+Ith.+Ihr.ve+Ticaret+A.S
1351,Enyax Srl,7,D07,https://www.k-online.com/vis/v1/en/search?_query=Enyax+Srl
1352,HAPLAST JSC,7,A14,https://www.k-online.com/vis/v1/en/search?_query=HAPLAST+JSC
1353,Costruzioni Meccaniche TECOM srl,16,B60,https://www.k-online.com/vis/v1/en/search?_query=Costruzioni+Meccaniche+TECOM+srl
1354,MAMATA MACHINERY LTD,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=composting&f_type=profile
1355,Notpla Limited,5,A25,https://www.k-online.com/vis/v1/en/search?_query=Notpla+Limited
1356,PiovanGroup,10,C20,https://www.k-online.com/vis/v1/en/search?_query=PiovanGroup
1357,Poly Edge Sdn Bhd,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=composting&f_type=profile
1358,Sirmax S.p.A.,8b,F54,https://www.k-online.com/vis/v1/en/search?_query=composting&f_type=profile
1359,Futerro S.A.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1360,BDI-BioEnergy International GmbH,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1361,Comerio Ercole S.p.A.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1362,UL International Germany GmbH,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1363,WF Recycle-Tech Ltd.,9,A16,https://www.k-online.com/vis/v1/en/search?_query=end-of-life&f_type=profile
1364,Gummiwerk KRAIBURG GmbH & Co. KG,6,C58-03,https://www.k-online.com/vis/v1/en/search?_query=Kraiburg&f_type=profile
1365,KRAIBURG WALZENFERTIGUNG GMBH,6,C58-03,https://www.k-online.com/vis/v1/en/search?_query=Kraiburg&f_type=profile
1366,KABKOM KIMYA SANAYI VE TICARET A.S.,6,B68,https://www.k-online.com/vis/v1/en/search?_query=Hexpol&f_type=profile
1367,Kafrit Industries (1993) Ltd.,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1368,Delta Kunststoffe AG,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1369,POLYFIL USA,8a,F20,https://www.k-online.com/vis/v1/en/search?_query=Kafrit&f_type=profile
1370,Delta Engineering bv,11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1371,"DELTACHEM(QINGDAO)CO.,LTD",11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1372,METRAVIB MATERIAL TESTING SAS,11,D02,https://www.k-online.com/vis/v1/en/search?_query=Delta&f_type=profile
1373,"Jinming Machinery (Guangdong) Co., Ltd.",17,A03,https://www.k-online.com/vis/v1/en/search?_query=BASF&f_type=profile
1374,LyondellBasell Industries Holdings B.V.,8a,G36,https://www.k-online.com/vis/v1/en/search?_query=LyondellBasell&f_type=profile
1375,Advanced Petrochemical Company JOINT STOCK,8a,G36,https://www.k-online.com/vis/v1/en/search?_query=LyondellBasell&f_type=profile
1376,SABIC,7,A30,https://www.k-online.com/vis/v1/en/search?_query=Sabic&f_type=profile
1377,Shamal Plastic Industries L.L.C,7,A30,https://www.k-online.com/vis/v1/en/search?_query=Sabic&f_type=profile
1378,Ravago S.A.,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1379,Polyplastics Europe GmbH,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1380,SNETOR OVERSEAS SA,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1381,Dongsung Chemical Co. Ltd.,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
1382,Epaflex Polyurethanes Spa,6,C76,https://www.k-online.com/vis/v1/en/search?_query=bio+TPE&f_type=profile
